ref,claim
RCPT-000001,LOCAL_RESIDENCE
RCPT-000002,CATEGORY
RCPT-000005,CATEGORY
RCPT-000005,INCOME
RCPT-000007,CATEGORY
RCPT-000007,EX_SERVICE
ONLINE-000000,CATEGORY
ONLINE-000000,LOCAL_RESIDENCE
RCPT-000008,LOCAL_RESIDENCE
RCPT-000009,CATEGORY
RCPT-000009,DISABILITY
ONLINE-000001,LOCAL_RESIDENCE
RCPT-000010,CATEGORY
RCPT-000010,LOCAL_RESIDENCE
RCPT-000011,CATEGORY
RCPT-000013,LOCAL_RESIDENCE
ONLINE-000003,CATEGORY
ONLINE-000003,LOCAL_RESIDENCE
ONLINE-000004,LOCAL_RESIDENCE
ONLINE-000005,CATEGORY
ONLINE-000005,INCOME
ONLINE-000005,LOCAL_RESIDENCE
RCPT-000014,CATEGORY
RCPT-000014,LOCAL_RESIDENCE
RCPT-000015,CATEGORY
RCPT-000016,DISABILITY
RCPT-000017,CATEGORY
RCPT-000017,INCOME
RCPT-000017,LOCAL_RESIDENCE
RCPT-000018,CATEGORY
RCPT-000019,LOCAL_RESIDENCE
RCPT-000021,DISABILITY
RCPT-000022,CATEGORY
RCPT-000023,CATEGORY
RCPT-000023,INCOME
ONLINE-000006,LOCAL_RESIDENCE
RCPT-000024,LOCAL_RESIDENCE
RCPT-000025,CATEGORY
RCPT-000026,LOCAL_RESIDENCE
ONLINE-000007,LOCAL_RESIDENCE
ONLINE-000007,DISABILITY
RCPT-000027,CATEGORY
RCPT-000027,DISABILITY
RCPT-000030,LOCAL_RESIDENCE
ONLINE-000008,CATEGORY
ONLINE-000008,LOCAL_RESIDENCE
RCPT-000033,CATEGORY
RCPT-000033,DISABILITY
RCPT-000036,CATEGORY
RCPT-000036,LOCAL_RESIDENCE
ONLINE-000009,LOCAL_RESIDENCE
RCPT-000038,CATEGORY
RCPT-000038,EX_SERVICE
RCPT-000039,CATEGORY
ONLINE-000011,CATEGORY
ONLINE-000011,LOCAL_RESIDENCE
RCPT-000042,CATEGORY
RCPT-000043,CATEGORY
RCPT-000044,CATEGORY
RCPT-000044,LOCAL_RESIDENCE
RCPT-000045,CATEGORY
RCPT-000045,LOCAL_RESIDENCE
ONLINE-000013,CATEGORY
ONLINE-000014,CATEGORY
RCPT-000046,LOCAL_RESIDENCE
RCPT-000047,LOCAL_RESIDENCE
ONLINE-000015,CATEGORY
RCPT-000048,CATEGORY
ONLINE-000016,CATEGORY
RCPT-000051,CATEGORY
RCPT-000051,INCOME
RCPT-000054,LOCAL_RESIDENCE
RCPT-000054,DISABILITY
RCPT-000055,CATEGORY
RCPT-000055,INCOME
RCPT-000055,LOCAL_RESIDENCE
RCPT-000057,CATEGORY
RCPT-000057,LOCAL_RESIDENCE
RCPT-000058,CATEGORY
RCPT-000062,CATEGORY
RCPT-000066,CATEGORY
RCPT-000067,LOCAL_RESIDENCE
RCPT-000069,CATEGORY
ONLINE-000018,CATEGORY
RCPT-000070,CATEGORY
RCPT-000070,LOCAL_RESIDENCE
ONLINE-000020,CATEGORY
ONLINE-000021,CATEGORY
RCPT-000073,CATEGORY
RCPT-000075,CATEGORY
RCPT-000075,INCOME
RCPT-000076,CATEGORY
RCPT-000077,CATEGORY
RCPT-000077,INCOME
RCPT-000077,LOCAL_RESIDENCE
ONLINE-000022,CATEGORY
ONLINE-000022,LOCAL_RESIDENCE
ONLINE-000023,CATEGORY
ONLINE-000023,LOCAL_RESIDENCE
ONLINE-000024,CATEGORY
ONLINE-000024,EX_SERVICE
RCPT-000078,LOCAL_RESIDENCE
ONLINE-000025,CATEGORY
ONLINE-000025,INCOME
RCPT-000079,LOCAL_RESIDENCE
RCPT-000081,CATEGORY
RCPT-000082,CATEGORY
RCPT-000082,LOCAL_RESIDENCE
ONLINE-000026,CATEGORY
ONLINE-000026,LOCAL_RESIDENCE
ONLINE-000026,DISABILITY
ONLINE-000027,CATEGORY
ONLINE-000027,LOCAL_RESIDENCE
RCPT-000083,CATEGORY
RCPT-000085,LOCAL_RESIDENCE
RCPT-000085,EX_SERVICE
RCPT-000086,CATEGORY
RCPT-000086,INCOME
RCPT-000086,LOCAL_RESIDENCE
RCPT-000087,CATEGORY
RCPT-000088,CATEGORY
RCPT-000088,LOCAL_RESIDENCE
RCPT-000090,CATEGORY
RCPT-000090,LOCAL_RESIDENCE
RCPT-000091,CATEGORY
ONLINE-000028,DISABILITY
RCPT-000092,CATEGORY
ONLINE-000029,DISABILITY
RCPT-000095,CATEGORY
ONLINE-000030,LOCAL_RESIDENCE
ONLINE-000031,CATEGORY
ONLINE-000031,LOCAL_RESIDENCE
RCPT-000098,LOCAL_RESIDENCE
RCPT-000099,CATEGORY
RCPT-000100,CATEGORY
RCPT-000100,INCOME
RCPT-000100,EX_SERVICE
RCPT-000102,CATEGORY
RCPT-000102,LOCAL_RESIDENCE
RCPT-000104,DISABILITY
RCPT-000106,CATEGORY
RCPT-000106,LOCAL_RESIDENCE
ONLINE-000032,LOCAL_RESIDENCE
RCPT-000109,CATEGORY
ONLINE-000033,LOCAL_RESIDENCE
RCPT-000110,CATEGORY
RCPT-000110,INCOME
RCPT-000112,LOCAL_RESIDENCE
RCPT-000114,CATEGORY
RCPT-000114,LOCAL_RESIDENCE
RCPT-000115,LOCAL_RESIDENCE
RCPT-000117,CATEGORY
RCPT-000117,LOCAL_RESIDENCE
RCPT-000118,CATEGORY
RCPT-000119,CATEGORY
RCPT-000119,LOCAL_RESIDENCE
RCPT-000121,CATEGORY
RCPT-000121,INCOME
RCPT-000123,CATEGORY
RCPT-000124,CATEGORY
RCPT-000125,CATEGORY
RCPT-000125,INCOME
ONLINE-000038,CATEGORY
ONLINE-000038,DISABILITY
RCPT-000128,CATEGORY
RCPT-000128,INCOME
ONLINE-000039,EX_SERVICE
RCPT-000129,CATEGORY
RCPT-000129,INCOME
RCPT-000129,LOCAL_RESIDENCE
RCPT-000129,DISABILITY
RCPT-000130,CATEGORY
RCPT-000130,EX_SERVICE
RCPT-000131,CATEGORY
RCPT-000131,EX_SERVICE
RCPT-000133,CATEGORY
RCPT-000133,INCOME
RCPT-000133,LOCAL_RESIDENCE
RCPT-000134,CATEGORY
RCPT-000134,LOCAL_RESIDENCE
ONLINE-000041,CATEGORY
ONLINE-000041,INCOME
ONLINE-000042,CATEGORY
ONLINE-000042,LOCAL_RESIDENCE
ONLINE-000043,CATEGORY
RCPT-000136,CATEGORY
ONLINE-000044,CATEGORY
ONLINE-000044,LOCAL_RESIDENCE
ONLINE-000045,CATEGORY
ONLINE-000045,LOCAL_RESIDENCE
ONLINE-000045,DISABILITY
